region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(252555,284319)(61390000,61439999)(61390000,61440000)	11	61415000	31766	0.107583	0.130591	0.081705	0.084263	0.029559	0.055678
(258872,291510)(61400003,61449999)(61400000,61450000)	11	61425000	32640	0.120127	0.100281	0.098520	0.064966	0.063011	0.040706
(266697,298674)(61410000,61459999)(61410000,61460000)	11	61435000	31979	0.157964	0.108665	0.108523	0.086046	0.085887	0.028989
(273560,305565)(61420000,61469999)(61420000,61470000)	11	61445000	32007	0.181934	0.071092	0.106573	0.080933	0.119879	-0.007188
(278818,312110)(61430000,61479999)(61430000,61480000)	11	61455000	33294	0.185462	0.087667	0.097231	0.097298	0.107836	-0.005548
(284320,318909)(61440000,61489999)(61440000,61490000)	11	61465000	34591	0.127917	0.102209	0.099471	0.069958	0.066913	0.037860
(291511,325956)(61450000,61499999)(61450000,61500000)	11	61475000	34447	0.108185	0.084767	0.090472	0.054122	0.060375	0.034454
(298675,331077)(61460000,61509999)(61460000,61510000)	11	61485000	32404	0.100065	0.075514	0.104766	0.036640	0.068792	0.041878
(305566,335945)(61470000,61519823)(61470000,61520000)	11	61495000	30381	0.080154	0.069119	0.103410	0.023008	0.060541	0.048616
(312111,341432)(61480000,61529999)(61480000,61530000)	11	61505000	29323	0.105460	0.097609	0.118499	0.044012	0.067434	0.058695
(318910,345681)(61490000,61539999)(61490000,61540000)	11	61515000	26773	0.144679	0.102330	0.180737	0.032440	0.123838	0.075512
(325957,350561)(61500000,61549999)(61500000,61550000)	11	61525000	24606	0.182493	0.232012	0.272296	0.073808	0.127688	0.190173
(331078,358627)(61510000,61559988)(61510000,61560000)	11	61535000	27551	0.214822	0.335045	0.369520	0.094304	0.147541	0.313732
(335946,365607)(61520544,61569999)(61520000,61570000)	11	61545000	29663	0.227844	0.456192	0.467257	0.119006	0.139563	0.490153
(341433,374031)(61530000,61579996)(61530000,61580000)	11	61555000	32600	0.236459	0.631637	0.591262	0.186898	0.082890	0.811790
(345682,379005)(61540000,61589989)(61540000,61590000)	11	61565000	33325	0.216319	0.731611	0.660288	0.239707	0.004046	1.075610
(350562,384538)(61550000,61599999)(61550000,61600000)	11	61575000	33978	0.113973	0.718729	0.659871	0.155508	-0.034501	1.112930
(358628,391747)(61560132,61609999)(61560000,61610000)	11	61585000	33121	0.052789	0.615717	0.583061	0.067897	-0.013664	0.888479
(365608,398080)(61570000,61619999)(61570000,61620000)	11	61595000	32474	0.087285	0.515448	0.538458	0.021340	0.069992	0.703191
(374032,404698)(61580049,61629999)(61580000,61630000)	11	61605000	30668	0.158005	0.372188	0.503321	-0.031157	0.203138	0.496672
(379006,409619)(61590001,61639999)(61590000,61640000)	11	61615000	30615	0.141791	0.318356	0.466263	-0.045848	0.198756	0.429096
(384539,415008)(61600000,61649999)(61600000,61650000)	11	61625000	30471	0.190918	0.264177	0.459391	-0.048219	0.260074	0.354984
(391748,420463)(61610000,61659806)(61610000,61660000)	11	61635000	28717	0.273612	0.234786	0.480141	-0.033463	0.353134	0.301063
(398081,426182)(61620000,61669961)(61620000,61670000)	11	61645000	28103	0.274346	0.211673	0.473229	-0.041233	0.361914	0.279075
(404699,432245)(61630000,61679998)(61630000,61680000)	11	61655000	27548	0.295520	0.197243	0.421460	0.011376	0.338920	0.208327
(409620,438104)(61640001,61689933)(61640000,61690000)	11	61665000	28486	0.313388	0.178828	0.389877	0.039457	0.336529	0.157565
(415009,444537)(61650000,61699999)(61650000,61700000)	11	61675000	29530	0.245267	0.152284	0.295315	0.048298	0.233093	0.116911
(420464,448868)(61660024,61709974)(61660000,61710000)	11	61685000	28406	0.163396	0.095701	0.217124	0.017109	0.161296	0.083486
(426183,454809)(61670001,61719864)(61670000,61720000)	11	61695000	28628	0.165578	0.103437	0.256990	-0.003422	0.184437	0.112609
(432246,461354)(61680002,61729999)(61680000,61730000)	11	61705000	29110	0.202154	0.112312	0.245675	0.031521	0.194319	0.087614
(438105,467734)(61690004,61739999)(61690000,61740000)	11	61715000	29631	0.185389	0.096781	0.240787	0.015681	0.189363	0.086110
(444538,475328)(61700000,61749959)(61700000,61750000)	11	61725000	30792	0.208804	0.096334	0.240196	0.030405	0.203805	0.070890
(448869,481355)(61710371,61759960)(61710000,61760000)	11	61735000	32488	0.243346	0.097437	0.237021	0.055421	0.223429	0.047096
(454810,486290)(61720017,61769999)(61720000,61770000)	11	61745000	31482	0.218528	0.068259	0.168571	0.066333	0.180242	0.004367
(461355,492387)(61730000,61779999)(61730000,61780000)	11	61755000	31034	0.171992	0.063008	0.141491	0.050628	0.138105	0.014453
(467735,499971)(61740000,61789999)(61740000,61790000)	11	61765000	32238	0.164709	0.071352	0.123974	0.060821	0.119154	0.013205
(475329,507317)(61750017,61799999)(61750000,61800000)	11	61775000	31990	0.155497	0.093410	0.113118	0.073514	0.095492	0.024551
(481356,512342)(61760006,61809999)(61760000,61810000)	11	61785000	30988	0.115955	0.096329	0.117778	0.049613	0.073634	0.051678
(486291,519613)(61770000,61819999)(61770000,61820000)	11	61795000	33324	0.111795	0.131228	0.156707	0.044394	0.074159	0.096281
(492388,526093)(61780000,61829999)(61780000,61830000)	11	61805000	33707	0.075617	0.197044	0.182489	0.048297	0.030332	0.171159
(499972,532540)(61790000,61839999)(61790000,61840000)	11	61815000	32570	0.071392	0.228265	0.201228	0.054252	0.019817	0.204862
(507318,538761)(61800000,61849999)(61800000,61850000)	11	61825000	31445	0.080242	0.245953	0.211870	0.063927	0.019718	0.218374
(512343,541039)(61810001,61859999)(61810000,61860000)	11	61835000	28698	0.078080	0.271747	0.218122	0.076174	0.005123	0.240934
(519614,543265)(61820000,61869999)(61820000,61870000)	11	61845000	23653	0.093358	0.277493	0.163075	0.122507	-0.024500	0.202521
(526094,549791)(61830000,61878733)(61830000,61880000)	11	61855000	23699	0.109194	0.156485	0.116586	0.080922	0.034706	0.089255
(532541,556890)(61840000,61889999)(61840000,61890000)	11	61865000	24351	0.130088	0.129756	0.120832	0.074783	0.064580	0.064199
(538762,563579)(61850000,61899999)(61850000,61900000)	11	61875000	24819	0.117038	0.111635	0.172457	0.026776	0.097698	0.091596
(541040,570675)(61860000,61909999)(61860000,61910000)	11	61885000	29637	0.128643	0.110246	0.179221	0.028506	0.109197	0.088304
(543266,577486)(61870000,61919999)(61870000,61920000)	11	61895000	34222	0.140882	0.141935	0.186388	0.049327	0.102523	0.103749
(549792,583589)(61880143,61929999)(61880000,61930000)	11	61905000	33799	0.143982	0.146377	0.191647	0.050487	0.104977	0.107779
(556891,590754)(61890000,61939999)(61890000,61940000)	11	61915000	33865	0.152901	0.160603	0.213142	0.050651	0.115286	0.124421
(563580,596687)(61900000,61949982)(61900000,61950000)	11	61925000	33109	0.190613	0.191395	0.156565	0.126825	0.084653	0.085620
(570676,604222)(61910000,61959999)(61910000,61960000)	11	61935000	33548	0.194905	0.200703	0.124661	0.153837	0.062958	0.070186
(577487,610942)(61920000,61969999)(61920000,61970000)	11	61945000	33457	0.193841	0.159273	0.130478	0.124575	0.090898	0.048913
(583590,618025)(61930000,61979824)(61930000,61980000)	11	61955000	34437	0.204894	0.197743	0.132315	0.153840	0.075440	0.066487
(590755,623118)(61940000,61989984)(61940000,61990000)	11	61965000	32365	0.211456	0.199279	0.133599	0.158201	0.079366	0.064041
(596688,629648)(61950138,61999999)(61950000,62000000)	11	61975000	32962	0.195042	0.180204	0.163605	0.118506	0.098460	0.080194
