region	chr	midPos	Nsites
(211291,246375)(61300000,61349999)(61300000,61350000)	11	61325000	35086	0.160745
(217753,253833)(61310007,61359988)(61310000,61360000)	11	61335000	36082	0.141969
(223029,261574)(61320000,61369999)(61320000,61370000)	11	61345000	38547	0.089284
(231012,269696)(61330000,61379999)(61330000,61380000)	11	61355000	38686	0.149437
(239502,277370)(61340000,61389999)(61340000,61390000)	11	61365000	37870	0.148533
(246376,284634)(61350000,61399993)(61350000,61400000)	11	61375000	38260	0.124211
(253834,293053)(61360000,61409999)(61360000,61410000)	11	61385000	39221	0.091176
(261575,300701)(61370000,61419999)(61370000,61420000)	11	61395000	39128	0.098628
(269697,306820)(61380000,61429999)(61380000,61430000)	11	61405000	37125	0.076407
(277371,313224)(61390000,61439999)(61390000,61440000)	11	61415000	35855	0.099999
(284635,321000)(61400003,61449999)(61400000,61450000)	11	61425000	36367	0.119143
(293054,328957)(61410000,61459999)(61410000,61460000)	11	61435000	35905	0.150858
(300702,336889)(61420000,61469999)(61420000,61470000)	11	61445000	36189	0.171292
(306821,344527)(61430000,61479999)(61430000,61480000)	11	61455000	37708	0.175082
(313225,352173)(61440000,61489999)(61440000,61490000)	11	61465000	38950	0.121091
(321001,359840)(61450000,61499999)(61450000,61500000)	11	61475000	38841	0.103823
(328958,366354)(61460000,61509999)(61460000,61510000)	11	61485000	37398	0.092861
(336890,372440)(61470000,61519829)(61470000,61520000)	11	61495000	35552	0.081837
(344528,378953)(61480000,61529999)(61480000,61530000)	11	61505000	34427	0.102362
(352174,384501)(61490000,61539999)(61490000,61540000)	11	61515000	32329	0.134521
(359841,390276)(61500000,61549999)(61500000,61550000)	11	61525000	30437	0.166290
(366355,398912)(61510000,61559998)(61510000,61560000)	11	61535000	32559	0.205030
(372441,406188)(61520544,61569999)(61520000,61570000)	11	61545000	33749	0.214194
(378954,414987)(61530000,61579996)(61530000,61580000)	11	61555000	36035	0.220501
(384502,420732)(61540000,61589989)(61540000,61590000)	11	61565000	36232	0.212556
(390277,426993)(61550000,61599999)(61550000,61600000)	11	61575000	36718	0.110322
(398913,434786)(61560000,61609999)(61560000,61610000)	11	61585000	35875	0.044781
(406189,441665)(61570000,61619999)(61570000,61620000)	11	61595000	35478	0.134450
(414988,449115)(61580049,61629999)(61580000,61630000)	11	61605000	34129	0.185603
(420733,454751)(61590001,61639999)(61590000,61640000)	11	61615000	34020	0.166198
(426994,461181)(61600000,61649999)(61600000,61650000)	11	61625000	34189	0.205442
(434787,467506)(61610000,61659806)(61610000,61660000)	11	61635000	32721	0.308091
(441666,474039)(61620000,61669999)(61620000,61670000)	11	61645000	32375	0.294378
(449116,481086)(61630000,61679999)(61630000,61680000)	11	61655000	31972	0.317322
(454752,487662)(61640000,61689933)(61640000,61690000)	11	61665000	32912	0.336094
(461182,494788)(61650000,61699999)(61650000,61700000)	11	61675000	33608	0.273084
(467507,499582)(61660024,61709974)(61660000,61710000)	11	61685000	32077	0.165402
(474040,506440)(61670001,61719999)(61670000,61720000)	11	61695000	32402	0.164198
(481087,513657)(61680000,61729999)(61680000,61730000)	11	61705000	32572	0.206399
(487663,520805)(61690004,61739999)(61690000,61740000)	11	61715000	33144	0.188986
(494789,529116)(61700000,61749959)(61700000,61750000)	11	61725000	34329	0.209174
(499583,535505)(61710371,61759960)(61710000,61760000)	11	61735000	35924	0.240784
(506441,541394)(61720002,61769999)(61720000,61770000)	11	61745000	34955	0.215291
(513658,548091)(61730000,61779999)(61730000,61780000)	11	61755000	34435	0.170963
(520806,556278)(61740000,61789999)(61740000,61790000)	11	61765000	35474	0.161456
(529117,564011)(61750017,61799999)(61750000,61800000)	11	61775000	34896	0.155266
(535506,569699)(61760006,61809999)(61760000,61810000)	11	61785000	34195	0.120297
(541395,577496)(61770000,61819999)(61770000,61820000)	11	61795000	36103	0.118486
(548092,584907)(61780000,61829999)(61780000,61830000)	11	61805000	36817	0.079944
(556279,592027)(61790000,61839999)(61790000,61840000)	11	61815000	35750	0.080644
(564012,598771)(61800000,61849999)(61800000,61850000)	11	61825000	34761	0.080832
(569700,602239)(61810001,61859999)(61810000,61860000)	11	61835000	32541	0.077683
(577497,605256)(61820000,61869999)(61820000,61870000)	11	61845000	27761	0.093489
(584908,612197)(61830000,61878733)(61830000,61880000)	11	61855000	27291	0.106441
(592028,619631)(61840000,61889999)(61840000,61890000)	11	61865000	27605	0.121320
(598772,627010)(61850000,61899999)(61850000,61900000)	11	61875000	28240	0.110724
(602240,634676)(61860000,61909999)(61860000,61910000)	11	61885000	32438	0.124937
(605257,642387)(61870000,61919999)(61870000,61920000)	11	61895000	37132	0.136156
(612198,649071)(61880143,61929999)(61880000,61930000)	11	61905000	36875	0.141548
(619632,657003)(61890000,61939999)(61890000,61940000)	11	61915000	37373	0.156367
(627011,663661)(61900000,61949999)(61900000,61950000)	11	61925000	36652	0.194871
(634677,671478)(61910000,61959999)(61910000,61960000)	11	61935000	36803	0.197085
(642388,678818)(61920000,61969999)(61920000,61970000)	11	61945000	36432	0.197967
(649072,686747)(61930000,61979824)(61930000,61980000)	11	61955000	37677	0.209543
(657004,692600)(61940000,61989999)(61940000,61990000)	11	61965000	35598	0.213943
(663662,699795)(61950000,61999999)(61950000,62000000)	11	61975000	36135	0.196622
